ringName,URL,dob,pob,gender,notes
"[""Colossus Kennedy""]",/wrestlers/colossus-kennedy-9220.html,unknown,"Hull, England",male,
"[""Colotlan""]",/wrestlers/colotlan-12422.html,Sep 11th 1970,"Unknown, Jalisco",male,
"[""Colt Cabana""]",/wrestlers/colt-cabana-1772.html,May 6th 1980,"Deerfield, Illinois",male,
"[""Colt CaBunny""]",/wrestlers/colt-cabunny-3037.html,Oct 10th 1983,"Philadelphia, Pennsylvania",male,
"[""Colt Steele""]",/wrestlers/colt-steele-7020.html,unknown,"Charlotte, North Carolina",male,
"[""Colt Stevens""]",/wrestlers/colt-stevens-10047.html,Jul 19th 1986,"Fresno, California",male,
"[""Colton Cage""]",/wrestlers/colton-cage-12832.html,unknown,,male,
"[""Colton Collins""]",/wrestlers/colton-collins-11839.html,unknown,Unknown,male,
"[""Comandante Pierroth""]",/wrestlers/comandante-pierroth-12427.html,unknown,"Unknown, Unknown",male,
"[""Comando Ruso""]",/wrestlers/comando-ruso-9122.html,unknown,"Unknown, Unknown",male,
"[""Steve Sadist""]",/wrestlers/steve-sadist-9404.html,unknown,"Waco, Texas",male,
"[""Steve Sawyer""]",/wrestlers/steve-sawyer-1110.html,unknown,"Kansas City, Missouri",male,
"[""Steve Scott""]",/wrestlers/steve-scott-10861.html,unknown,Unknown,male,
"[""Steve Sharkey""]",/wrestlers/steve-sharkey-7510.html,unknown,Unknown,male,
"[""Steve Sharp""]",/wrestlers/steve-sharp-7612.html,unknown,"St. Louis, Missouri",male,
"[""Steve Shields""]",/wrestlers/steve-shields-13896.html,unknown,,male,
"[""Steve Simpson""]",/wrestlers/steve-simpson-1122.html,Dec 3rd 1963,"Johannesburg, Gauteng",male,
"[""Steve Skyfire""]",/wrestlers/steve-skyfire-827.html,unknown,"Atlantic City, New Jersey",male,
"[""Steve Smith""]",/wrestlers/steve-smith-3121.html,unknown,Unknown,male,
"[""Steve Southern""]",/wrestlers/steve-southern-2194.html,unknown,Unknown,male,
"[""Steve Stakk""]",/wrestlers/steve-stakk-2052.html,unknown,Unknown,male,
"[""Steve Stamp""]",/wrestlers/steve-stamp-10180.html,unknown,"Unknown, California",male,
"[""Steve Stampede""]",/wrestlers/steve-stampede-2447.html,unknown,Unknown,male,
"[""Steve Stanlee""]",/wrestlers/steve-stanlee-4957.html,Feb 29th 1920,"Chicago, Illinois",male,Deceased
"[""Steve Stardom""]",/wrestlers/steve-stardom-12177.html,unknown,"Omaha, Nebraska",male,
"[""Steve Stasiak""]",/wrestlers/steve-stasiak-7685.html,unknown,"Hephzibah, Georgia",male,
